Shell,Radius (by eye),Thickness (by eye),Expansion Velocity (by eye),Systemic Velocity (by eye),24µm,8µm,4.5µm,3.6µm,Velocity Structure,IR Nebulosity,Circular Structure (in CO or IR),P-V Diagram,Candidate Source
1,0.26 - 0.3,0.25 - 0.35,0.7-1.3,7.4 - 7.9 km/s,,,,,,Y (IRAC1),,Y,
2,0.25-0.35,0.1-0.2,0.5-1.5,5.5-6.0,,,,,,Y (MIPS),,N,Y (YSO)
3,0.6-0.7,0.2-0.4,2.0-4.0,8.0-9.5,,,,,Y,Y (Dust T),Y (13CO),,Y (YSO)
4,0.4-0.6,0.3-0.4,3 - 4 km/s,6-8 km/s,,,,,,,,,
5,0.13 - 0.16 pc,0.1 - 0.15 pc,1 - 1.5 km/s,9.9 - 10.1 km/s,,,,,,,,,
6,0.25-0.3 pc,0.1-0.2 pc,1 - 2 km/s,7.3 - 7.8 km/s,,,,,,Y (Dust T),Y (Dust T),,Y (YSO)
7,0.15 - 0.2,0.1 - 0.2,2 - 3 km/s,10.7 - 11.3 km/s,,,,,,,Y (12CO),Y,
8,0.25-0.35,0.2-0.3 pc,1.2 - 2.2 km/s,9.3 - 9.7 km/s ,,,,,,,Y (12CO),,Y (obaf)
9,0.2 - 0.3 pc,0.2 - 0.3 pc,0.7 - 1 km/s,7.9-8.1 km/s,,,,,,Y (Dust T),Y (13CO),,Y (obaf)
10,0.3 - 0.4 pc,0.2 - 0.3,1.8 - 3.2,7.0 - 8.0 km/s,,,,,,Y (Dust T),Y (Dust T),,
11,0.15-0.2 pc,0.15 - 0.25 pc,1 - 2.5 km/s, 9.8 - 11 km/s,,,,,,Y (Dust T),Y (13CO),,Y (YSO)
12,0.12 - 0.18 pc,0.1 - 0.2 pc,1.6 - 2.4 km/s,10.2 - 11.2 km/s,,,,,,Y (Dust T),,,
13,0.25 - 0.35 pc,0.28 - 0.35 pc,1.5-1.8 km/s,7.5 - 8 km/s,,,,,,Y (Dust T),,,
14,0.15 - 0.19 pc,0.1 - 0.15 pc,1 - 1.4 km/s,3.5 - 4 km/s,,,,,,,,,
15,0.5 - 0.6 pc,0.15 - 0.23 pc,1.5 - 2.1 km/s,9.8 - 10.4 km/s,,,,,,,,,Y (obaf)
16,0.17 - 0.25 pc,0.17 - 0.21 pc,0.9 - 1.9 km/s,13 - 14 km/s,,,,,,,,,Y (YSO)
17,0.33 - 0.37 pc,0.15 - 0.25 pc, 2 - 4 km/s, 10.5 - 11.5 km/s,,,,,,Y (IRAC1),Y (13CO),,Y (obaf/YSO)
18,0.16 - 0.18 pc ,0.15 - 0.25 pc,2 - 4 km/s,13.5 - 15 km/s,,,,,,Y (MIPS),Y (13CO),,Y (obaf)
19,0.16 - 0.2 pc,0.16 - 0.2 pc,1 - 1.6 km/s,9.7 - 10.3 km/s,,,,,,Y (MIPS),,,
20,0.11 - 0.15 pc,0.15 - 0.25 pc,1 - 2 km/s,11-12 km/s,,,,,,,Y (12CO),Y,
21,0.1 - 0.14 pc,0.05 - 0.1 pc,1-1.3 km/s,11.5 - 11.9 km/s,,,,,,Y (DUST T),Y (13CO),,Y (YSO)
22,0.09 - 0.11 pc,0.09 - 0.11 pc,0.6 - 1 km/s,11.2 - 11.6 km/s,,,,,,,Y (13CO),,
23,0.08 - 0.14 pc,0.08 - 0.11 pc,0.9 - 1.3 km/s,11.3 - 11.7 km/s,,,,,,,Y (13CO),,
24,0.2 - 0.24 pc,0.1 - 0.13 pc,1 - 3 km/s,8 - 9.6 km/s,,,,,,Y (DUST T),Y (13CO),,Y (YSO)
25,0.3 - 0.37 pc,0.25 - 0.3 pc,0.8 - 1.2 km/s,8.3 - 8.7 km/s,,,,,,Y (DUST T),Y (13CO),,Y (obaf)
26,0.16 - 0.2 pc,0.1 - 0.15 pc,1 - 3 km/s,7-8 km/s,,,,,,Y (MIPS),Y (13CO),,Y (obaf)
27,0.25 - 0.31 pc,0.1 - 0.2 pc,NA 0.5 - 1.5 km/s,NA 8.5 - 9.5 km/s,,,,,N,,,N,N
28,0.3 - 0.4 pc,0.2 - 0.3 pc,1.5 - 2 km/s,9 - 9.6 km/s,,,,,,,,,Y (YSO)
29,0.1 - 0.2 pc,0.15 - 0.2 pc,1.5 - 2 km/s,13.5 - 14 km/s ,,,,,,Y (DUST T),,,Y (YSO)
30,0.3 - 0.4 pc,0.2 - 0.3 pc,1.5 - 2.5 km/s,6 - 7 km/s,,,,,,Y (IRAC1),Y (13CO),,Y (YSO)
31,NA,NA,NA,NA,,,,,,Y (Dust T),N,N,
32,0.5 - 0.6 pc,0.25 - 0.3 pc,0.5 - 1.5 km/s,7.8 - 8.2 km/s,,,,,,,N,N,Y (YSO)
33,0.26 - 0.32 pc,0.2 - 0.3 pc, 1.8 - 2.4 km/s,9.3 - 9.9 km/s,,,,,,,,Y,Y (YSO)
34, 0.2 - 0.27 pc,0.2 - 0.27 pc,NA 1-3 km/s,NA 6 - 8 km/s,,,,,,,N,N,Y (OBAF/YSO)
35,0.2 - 0.3 pc,0.2 - 0.3 pc,1.2 - 1.5 km/s, 7 - 7.4 km/s,,,,,,,,,Y (YSO)
36,0.6 - 0.7 pc,0.5 - 0.6 pc,4 - 6 km/s,5 - 7 km/s,,,,,,,,,
37,0.1 - 0.2 pc,0.1 - 0.25 pc,3 - 4 km/s,7.5 - 8 km/s,,,,,,Y (DUST T),Y (12CO),,Y (obaf)
38,0.23 - 0.27 pc,0.14 - 0.2 pc,2.7 - 3.2 km/s,10.7 - 11 km/s,,,,,,Y (IRAC4),Y(12CO),,Y (V380 Ori)
39,0.18 - 0.26 pc,0.2 - 0.26 pc,1.5 - 2.5 km/s,12.5 - 13.5 km/s,,,,,,,Y (13CO),,Y (obaf)
40,0.5 - 0.6 pc,0.5 - 0.6 pc,1 - 2 km/s ,6 - 8 km/s,,,,,,,N,N,Y (obaf/YSO)
41,0.8 - 0.9 pc,0.8 - 0.9 pc,2 - 2.6 km/s,8.4 - 9 km/s,,,,,,,N,Y,Y (obaf)
42,0.24 - 0.28 pc,0.2 - 0.24 pc,1 - 2 km/s,7.4 - 8 km/s,,,,,,Y (MIPS),,,
43,0.1 - 0.15,0.1 - 0.15,1- 2 km/s,10.8 - 11.4,,,,,,,Y (12CO),N,Y (V380 Ori)