ID,Name,deltav_max Blue Lobe (km/s),M_CO Blue Lobe (Msun),Momentum (Msun km/s),Energy (Joules),ID,Name,deltav_max Red Lobe (km/s),M_CO Red Lobe (Msun),Momentum (Msun km/s),Energy (Joules)
1,SIMBA a,4.7,1.30E-03,6.11E-03,5.71E+34,1,SIMBA a,4,2.00E-02,8.00E-02,6.37E+35
3,SIMBA c,3.6,1.10E-02,3.96E-02,2.84E+35,3,SIMBA c,,,0,0
10,MMS 2,7.7,6.90E-02,5.31E-01,8.14E+36,10,MMS 2,5.3,3.20E-02,1.70E-01,1.79E+36
16,MMS 5,9.7,4.00E-02,3.88E-01,7.49E+36,16,MMS 5,10.9,1.40E-02,1.53E-01,3.31E+36
13,MMS 7,6,1.80E-02,1.08E-01,1.29E+36,13,MMS 7,8,1.40E-01,1.12E+00,1.78E+37
18,MMS 9,15.6,4.70E-01,7.33E+00,2.28E+38,18,MMS 9 (west),14.7,2.80E-01,4.12E+00,1.20E+38
20,VLA 9,9.4,1.30E-01,1.22E+00,2.29E+37,18,MMS 9 (east),6,4.90E-02,2.94E-01,3.51E+36
23,FIR 1b,,,0,0,20,VLA 9,,,0,0
26,FIR 2,15.4,3.20E-02,4.93E-01,1.51E+37,23,FIR 1b,6.2,2.70E-02,1.67E-01,2.07E+36
28,FIR 3 (north),20.7,1.30E-01,2.69E+00,1.11E+38,26,FIR 2,9.5,1.80E-02,1.71E-01,3.23E+36
28,FIR 3 (south),15.3,4.80E-02,7.34E-01,2.24E+37,28,FIR 3 (north),13.9,9.70E-02,1.35E+00,3.73E+37
30,VLA 13,8.8,5.40E-02,4.75E-01,8.32E+36,28,FIR 3 (south),11.7,6.30E-02,7.37E-01,1.72E+37
36,FIR 6b,9,7.80E-02,7.02E-01,1.26E+37,30,VLA 13,6.3,1.40E-02,8.82E-02,1.11E+36
37,FIR 6c,10,2.00E-02,2.00E-01,3.98E+36,36,FIR 6b,11.6,4.90E-02,5.68E-01,1.31E+37
41,CSO 33,7.2,7.40E-02,5.33E-01,7.63E+36,37,FIR 6c,9.4,4.70E-02,4.42E-01,8.26E+36
,,,,,,41,CSO 33,,,0,0
Tota Momentum,,,,,,,,,,,
1.55E+01,9.45E+00,2.49E+01,,,,,,,,,
Total Energy (Joules),,,,,,,,,,,
4.48556E+38,2.30E+38,6.78284E+38,,,,,,,,,
Total Energy (Joules),,,,,,,,,,,
4.48556E+45,2.30E+45,6.78284E+45,,,,,,,,,